# Resultados para abb_real_random_busquedacargada.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	7.82246771	0.14084004
2	0.00000435	0.00000015
4	0.00000776	0.00000029
8	0.00001441	0.00000056
16	0.00002888	0.00000095
32	0.00005653	0.00000166
64	0.00010918	0.00000292
128	0.00021835	0.00000640
256	0.00043241	0.00001287
512	0.00084924	0.00002450
1024	0.00168547	0.00004804
2048	0.00333235	0.00010137
4096	0.00653871	0.00019532
8192	0.01289182	0.00031874
16384	0.02544453	0.00062700
32768	0.05092388	0.00119944
