# Resultados para abb_real_random_busquedanormal.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	0.00000065	0.00000012
2	0.00000088	0.00000017
4	0.00000106	0.00000020
8	0.00000188	0.00000017
16	0.00000294	0.00000018
32	0.00000559	0.00000026
64	0.00001129	0.00000039
128	0.00002318	0.00000081
256	0.00005053	0.00000162
512	0.00011341	0.00000357
1024	0.00025829	0.00000822
2048	0.00058547	0.00001824
4096	0.00135600	0.00004104
8192	0.00311865	0.00009317
16384	0.00726735	0.00023032
32768	0.01725035	0.00052283
65536	0.04383182	0.00102389
131072	0.10900571	0.00209459
262144	0.26887418	0.00538504
524288	0.63785506	0.01240492
1048576	1.48797382	0.02899329
2097152	3.42292224	0.06446838
