# Resultados para abb_real_random_eliminacion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	7.83924159	-nan
2	0.00000047	0.00000126
4	0.00000094	0.00000185
8	0.00000224	0.00000291
16	0.00000429	0.00000517
32	0.00000971	0.00000957
64	0.00001929	0.00001875
128	0.00003829	0.00003759
256	0.00008018	0.00007558
512	0.00017265	0.00015261
1024	0.00037500	0.00031402
2048	0.00084000	0.00063898
4096	0.00196647	0.00128594
8192	0.00440253	0.00265498
16384	0.00986100	0.00549476
32768	0.02278124	0.01119863
65536	0.05403218	0.02260930
131072	0.12956159	0.04599525
262144	0.30346682	0.09120327
524288	0.70482294	0.17575999
1048576	1.62851718	0.31999377
2097152	3.72542512	0.49844434
