# Resultados para abb_real_random_insercion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	7.83924159	0.15544085
2	0.00000047	0.00000012
4	0.00000094	0.00000010
8	0.00000224	0.00000014
16	0.00000429	0.00000017
32	0.00000971	0.00000047
64	0.00001929	0.00000073
128	0.00003829	0.00000147
256	0.00008018	0.00000281
512	0.00017265	0.00000560
1024	0.00037500	0.00001181
2048	0.00084000	0.00003028
4096	0.00196647	0.00009262
8192	0.00440253	0.00021705
16384	0.00986100	0.00043743
32768	0.02278124	0.00083015
65536	0.05403218	0.00156484
131072	0.12956159	0.00305504
262144	0.30346682	0.00598875
524288	0.70482294	0.01254103
1048576	1.62851718	0.02658235
2097152	3.72542512	0.05498059
