# Resultados para abb_real_random_ocupacion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	72.00	0.00000000
2	136.00	0.00000000
4	264.00	0.00000000
8	520.00	0.00000000
16	1032.00	0.00000000
32	2056.00	0.00000000
64	4104.00	0.00000000
128	8200.00	0.00000000
256	16388.24	3.76470588
512	32757.18	7.29032159
1024	65502.59	10.89490532
2048	130925.65	32.49444989
4096	261628.71	57.61968137
8192	522289.41	107.67322086
16384	1041777.41	204.52784685
32768	2074914.35	328.54743750
65536	4124329.88	669.62308254
131072	8179870.59	838.43558391
262144	16187475.29	1278.47244491
524288	31948190.59	2660.62215062
1048576	62873152.47	4332.31493454
2097152	123257995.76	6013.31972982
