# Resultados para abb_sintetico_random_busquedacargada.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	7.83699827	0.09455802
2	0.00000473	0.00000019
4	0.00000782	0.00000030
8	0.00001509	0.00000048
16	0.00002873	0.00000068
32	0.00005418	0.00000106
64	0.00010545	0.00000221
128	0.00020827	0.00000386
256	0.00040955	0.00000737
512	0.00080982	0.00001320
1024	0.00159391	0.00002531
2048	0.00311327	0.00004617
4096	0.00616009	0.00011010
8192	0.01247364	0.00020730
16384	0.02485600	0.00043649
32768	0.04993100	0.00087999
