# Resultados para abb_sintetico_random_busquedanormal.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	0.00000091	0.00000009
2	0.00000109	0.00000009
4	0.00000136	0.00000015
8	0.00000191	0.00000016
16	0.00000291	0.00000016
32	0.00000545	0.00000021
64	0.00001091	0.00000025
128	0.00002191	0.00000046
256	0.00004691	0.00000085
512	0.00010355	0.00000160
1024	0.00023127	0.00000351
2048	0.00051936	0.00000717
4096	0.00118455	0.00001592
8192	0.00273455	0.00004201
16384	0.00639836	0.00014348
32768	0.01540945	0.00029410
65536	0.03887718	0.00078108
131072	0.10000664	0.00237690
262144	0.24761718	0.00493164
524288	0.59904891	0.00983092
1048576	1.42241145	0.02375850
2097152	3.32788909	0.05547822
