# Resultados para abb_sintetico_random_eliminacion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	7.76689845	-nan
2	0.00000018	0.00000168
4	0.00000027	0.00000238
8	0.00000118	0.00000377
16	0.00000309	0.00000667
32	0.00000791	0.00001201
64	0.00001700	0.00002305
128	0.00003573	0.00004634
256	0.00007673	0.00009217
512	0.00016664	0.00018651
1024	0.00036227	0.00037775
2048	0.00079418	0.00076902
4096	0.00176891	0.00157515
8192	0.00397509	0.00321028
16384	0.00885955	0.00664317
32768	0.02021800	0.01366210
65536	0.04858718	0.02812701
131072	0.11671345	0.05761981
262144	0.28271118	0.11414521
524288	0.67409236	0.22140256
1048576	1.57898527	0.40634832
2097152	3.66363645	0.63333871
