# Resultados para abb_sintetico_random_insercion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	7.76689845	0.15047613
2	0.00000018	0.00000012
4	0.00000027	0.00000014
8	0.00000118	0.00000018
16	0.00000309	0.00000031
32	0.00000791	0.00000051
64	0.00001700	0.00000070
128	0.00003573	0.00000131
256	0.00007673	0.00000256
512	0.00016664	0.00000522
1024	0.00036227	0.00001047
2048	0.00079418	0.00002283
4096	0.00176891	0.00005057
8192	0.00397509	0.00012193
16384	0.00885955	0.00026093
32768	0.02021800	0.00058933
65536	0.04858718	0.00115746
131072	0.11671345	0.00222395
262144	0.28271118	0.00469558
524288	0.67409236	0.01065782
1048576	1.57898527	0.02567903
2097152	3.66363645	0.06019601
