# Resultados para abb_sintetico_random_ocupacion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	72.00	0.00000000
2	136.00	0.00000000
4	264.00	0.00000000
8	520.00	0.00000000
16	1032.00	0.00000000
32	2056.00	0.00000000
64	4104.00	0.00000000
128	8200.00	0.00000000
256	16392.00	0.00000000
512	32776.00	0.00000000
1024	65544.00	0.00000000
2048	131080.00	0.00000000
4096	262152.00	0.00000000
8192	524296.00	0.00000000
16384	1048584.00	0.00000000
32768	2097130.91	10.07738652
65536	4194189.82	20.15477303
131072	8388133.09	60.01476402
262144	16775053.82	83.42550495
524288	33546143.27	213.88446715
1048576	67076005.09	445.19547197
2097152	134086169.45	858.82749208
