# Resultados para avl_real_degenerado_busquedacargada.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	3.60457469	0.02082068
2	0.00000869	0.00000040
4	0.00001538	0.00000067
8	0.00002746	0.00000084
16	0.00004823	0.00000124
32	0.00008623	0.00000147
64	0.00015423	0.00000232
128	0.00027908	0.00000409
256	0.00051223	0.00000680
512	0.00095046	0.00001549
1024	0.00176731	0.00003029
2048	0.00335338	0.00005236
4096	0.00643969	0.00008219
8192	0.01274985	0.00019196
16384	0.02523538	0.00037225
32768	0.04955323	0.00072377
