# Resultados para avl_real_degenerado_busquedanormal.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	0.00000362	0.00000018
2	0.00000392	0.00000021
4	0.00000492	0.00000021
8	0.00000731	0.00000024
16	0.00001100	0.00000025
32	0.00001877	0.00000039
64	0.00003131	0.00000051
128	0.00005815	0.00000241
256	0.00010646	0.00000300
512	0.00020269	0.00000398
1024	0.00039062	0.00000548
2048	0.00076469	0.00000954
4096	0.00153585	0.00001276
8192	0.00315123	0.00002331
16384	0.00639900	0.00005510
32768	0.01301400	0.00009712
65536	0.02664238	0.00023754
131072	0.05417762	0.00047569
262144	0.10830923	0.00097116
524288	0.21731592	0.00205616
1048576	0.43340085	0.00407073
2097152	0.86904754	0.00790406
