# Resultados para avl_real_degenerado_eliminacion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	1.73938962	-nan
2	0.00000077	0.00000164
4	0.00000200	0.00000231
8	0.00000431	0.00000345
16	0.00000908	0.00000552
32	0.00001977	0.00000898
64	0.00002946	0.00001661
128	0.00004869	0.00003168
256	0.00008715	0.00006148
512	0.00016400	0.00012127
1024	0.00031815	0.00023957
2048	0.00062846	0.00047644
4096	0.00151554	0.00092833
8192	0.00421685	0.00173327
16384	0.01058992	0.00315007
32768	0.02512769	0.00540218
65536	0.05704400	0.00776302
131072	0.12406500	0.00423133
262144	0.26483062	-nan
524288	0.55920169	-nan
1048576	1.17390238	-nan
2097152	2.45173723	-nan
