# Resultados para avl_real_degenerado_insercion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	1.73938962	0.01468780
2	0.00000077	0.00000012
4	0.00000200	0.00000016
8	0.00000431	0.00000021
16	0.00000908	0.00000068
32	0.00001977	0.00000101
64	0.00002946	0.00000094
128	0.00004869	0.00000088
256	0.00008715	0.00000088
512	0.00016400	0.00000129
1024	0.00031815	0.00000248
2048	0.00062846	0.00000607
4096	0.00151554	0.00001504
8192	0.00421685	0.00005595
16384	0.01058992	0.00015416
32768	0.02512769	0.00031509
65536	0.05704400	0.00070125
131072	0.12406500	0.00152821
262144	0.26483062	0.00320840
524288	0.55920169	0.00670886
1048576	1.17390238	0.01350873
2097152	2.45173723	0.02700679
