# Resultados para avl_real_degenerado_ocupacion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	80.00	0.00000000
2	152.00	0.00000000
4	296.00	0.00000000
8	584.00	0.00000000
16	1126.77	15.50109750
32	1808.00	74.27184993
64	1824.62	82.39721946
128	1824.62	82.39721946
256	1824.62	82.39721946
512	1824.62	82.39721946
1024	1824.62	82.39721946
2048	2206.77	103.95993766
4096	38638.77	582.63193899
8192	258554.46	1461.47361799
16384	750718.77	1740.65778222
32768	1761393.85	1787.65089320
65536	3878016.62	1533.60723392
131072	8158328.00	2268.57868075
262144	16833347.69	3479.23476590
524288	34036340.92	6577.02665505
1048576	68056562.46	7484.30883078
2097152	135382200.62	9585.24765911
