# Resultados para avl_real_random_busquedacargada.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	11.40146045	0.06607971
2	0.00000400	0.00000019
4	0.00000736	0.00000024
8	0.00001427	0.00000036
16	0.00002782	0.00000086
32	0.00005327	0.00000107
64	0.00011145	0.00000727
128	0.00022582	0.00001829
256	0.00043027	0.00001945
512	0.00083145	0.00002331
1024	0.00161836	0.00003117
2048	0.00316218	0.00004497
4096	0.00631745	0.00009624
8192	0.01263409	0.00010464
16384	0.02526491	0.00020453
32768	0.05078473	0.00033661
