# Resultados para avl_real_random_busquedanormal.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	0.00000118	0.00000023
2	0.00000191	0.00000028
4	0.00000364	0.00000036
8	0.00000600	0.00000045
16	0.00000918	0.00000062
32	0.00001709	0.00000100
64	0.00003245	0.00000151
128	0.00006627	0.00000173
256	0.00013400	0.00000376
512	0.00027718	0.00000647
1024	0.00057518	0.00001178
2048	0.00118927	0.00001918
4096	0.00253282	0.00004170
8192	0.00542691	0.00010491
16384	0.01186891	0.00022418
32768	0.02712864	0.00062158
65536	0.06124073	0.00131140
131072	0.13504445	0.00131510
262144	0.29564100	0.00178610
524288	0.64468691	0.00353402
1048576	1.39559391	0.00816621
2097152	2.99624555	0.02028522
