# Resultados para avl_real_random_eliminacion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	6.51780555	-nan
2	0.00000036	0.00000291
4	0.00000091	0.00000474
8	0.00000245	0.00000851
16	0.00000573	0.00001604
32	0.00001318	0.00003117
64	0.00002800	0.00006169
128	0.00005964	0.00012203
256	0.00012945	0.00024144
512	0.00027873	0.00047410
1024	0.00060482	0.00095115
2048	0.00133909	0.00188418
4096	0.00295709	0.00378525
8192	0.00663255	0.00744428
16384	0.01492118	0.01494740
32768	0.03446118	0.02954003
65536	0.08018409	0.05781242
131072	0.18455736	0.11251178
262144	0.42539564	0.21438150
524288	0.97432209	0.40040087
1048576	2.19988082	0.72311438
2097152	4.95244200	1.19537023
