# Resultados para avl_real_random_insercion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	6.51780555	0.04102658
2	0.00000036	0.00000015
4	0.00000091	0.00000025
8	0.00000245	0.00000025
16	0.00000573	0.00000033
32	0.00001318	0.00000057
64	0.00002800	0.00000098
128	0.00005964	0.00000181
256	0.00012945	0.00000380
512	0.00027873	0.00000786
1024	0.00060482	0.00001710
2048	0.00133909	0.00004511
4096	0.00295709	0.00009210
8192	0.00663255	0.00016711
16384	0.01492118	0.00032761
32768	0.03446118	0.00061992
65536	0.08018409	0.00129285
131072	0.18455736	0.00240484
262144	0.42539564	0.00466978
524288	0.97432209	0.00994333
1048576	2.19988082	0.01560083
2097152	4.95244200	0.02928220
