# Resultados para avl_real_random_ocupacion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	80.00	0.00000000
2	152.00	0.00000000
4	296.00	0.00000000
8	584.00	0.00000000
16	1160.00	0.00000000
32	2312.00	0.00000000
64	4616.00	0.00000000
128	9224.00	0.00000000
256	18440.00	0.00000000
512	36852.36	10.14017458
1024	73709.82	10.95264035
2048	147365.82	22.29301488
4096	294344.00	44.48983541
8192	587783.27	114.61089040
16384	1172312.00	207.08891371
32768	2334516.36	374.26036811
65536	4639328.00	832.72485907
131072	9203264.00	1363.65242172
262144	18211786.18	2848.23106129
524288	35948488.73	3044.41468054
1048576	70728501.09	4529.27104200
2097152	138658445.82	8710.70310680
