# Resultados para avl_sintetico_degenerado_busquedacargada.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	3.63024100	0.02805364
2	0.00000782	0.00000038
4	0.00001373	0.00000056
8	0.00002555	0.00000078
16	0.00004491	0.00000104
32	0.00008118	0.00000103
64	0.00014682	0.00000142
128	0.00026745	0.00000260
256	0.00048882	0.00000442
512	0.00090827	0.00000722
1024	0.00170127	0.00001975
2048	0.00321936	0.00002887
4096	0.00628927	0.00008758
8192	0.01248873	0.00011985
16384	0.02469064	0.00023887
32768	0.04896691	0.00040296
