# Resultados para avl_sintetico_degenerado_busquedanormal.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	0.00000345	0.00000016
2	0.00000400	0.00000019
4	0.00000509	0.00000025
8	0.00000718	0.00000023
16	0.00001118	0.00000023
32	0.00001918	0.00000033
64	0.00003391	0.00000037
128	0.00006345	0.00000047
256	0.00012300	0.00000146
512	0.00023955	0.00000179
1024	0.00046755	0.00000217
2048	0.00090691	0.00000306
4096	0.00176518	0.00000428
8192	0.00343455	0.00002221
16384	0.00667964	0.00004025
32768	0.01331082	0.00008037
65536	0.02709882	0.00017212
131072	0.05419736	0.00042174
262144	0.10816036	0.00064933
524288	0.21654182	0.00118062
1048576	0.43547145	0.00214056
2097152	0.87876509	0.00511840
