# Resultados para avl_sintetico_degenerado_eliminacion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	1.75498973	-nan
2	0.00000082	0.00000198
4	0.00000191	0.00000279
8	0.00000400	0.00000404
16	0.00000800	0.00000646
32	0.00001918	0.00001068
64	0.00003636	0.00001935
128	0.00007282	0.00003599
256	0.00015045	0.00006773
512	0.00031427	0.00012940
1024	0.00066455	0.00023974
2048	0.00140164	0.00044266
4096	0.00293545	0.00081816
8192	0.00617645	0.00146663
16384	0.01320318	0.00266052
32768	0.02904509	0.00420647
65536	0.06217382	0.00472509
131072	0.12960364	-nan
262144	0.27040273	-nan
524288	0.56721455	-nan
1048576	1.17551391	-nan
2097152	2.45308036	-nan
