# Resultados para avl_sintetico_degenerado_insercion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	1.75498973	0.00671482
2	0.00000082	0.00000012
4	0.00000191	0.00000016
8	0.00000400	0.00000019
16	0.00000800	0.00000023
32	0.00001918	0.00000095
64	0.00003636	0.00000088
128	0.00007282	0.00000104
256	0.00015045	0.00000176
512	0.00031427	0.00000462
1024	0.00066455	0.00001119
2048	0.00140164	0.00002592
4096	0.00293545	0.00005380
8192	0.00617645	0.00010196
16384	0.01320318	0.00020103
32768	0.02904509	0.00036978
65536	0.06217382	0.00099156
131072	0.12960364	0.00147476
262144	0.27040273	0.00262070
524288	0.56721455	0.00612241
1048576	1.17551391	0.01063926
2097152	2.45308036	0.01983976
