# Resultados para avl_sintetico_degenerado_ocupacion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	80.00	0.00000000
2	152.00	0.00000000
4	296.00	0.00000000
8	584.00	0.00000000
16	1160.00	0.00000000
32	2305.45	6.54545455
64	4602.91	8.78164878
128	9204.36	10.14017458
256	18400.73	11.33705983
512	36793.45	18.04457291
1024	73592.00	25.68621845
2048	147136.73	55.23060596
4096	294239.27	66.81495354
8192	588673.45	64.73054129
16384	1177273.45	70.98122205
32768	2354552.00	130.61421334
65536	4709154.91	271.45886863
131072	9418190.55	398.10141156
262144	18837263.27	607.56487257
524288	37675146.91	761.59394400
1048576	75351686.55	837.09684857
2097152	150701565.09	1482.02447198
