# Resultados para avl_sintetico_random_busquedacargada.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	11.85236945	0.05983525
2	0.00000445	0.00000016
4	0.00000791	0.00000025
8	0.00001527	0.00000033
16	0.00002936	0.00000058
32	0.00005582	0.00000092
64	0.00011027	0.00000182
128	0.00021573	0.00000381
256	0.00042318	0.00000773
512	0.00084027	0.00001185
1024	0.00165300	0.00001747
2048	0.00328027	0.00003079
4096	0.00657773	0.00008038
8192	0.01312055	0.00011916
16384	0.02630591	0.00026239
32768	0.05240627	0.00051748
