# Resultados para avl_sintetico_random_busquedanormal.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	0.00000118	0.00000023
2	0.00000173	0.00000027
4	0.00000264	0.00000031
8	0.00000482	0.00000035
16	0.00000855	0.00000043
32	0.00001682	0.00000078
64	0.00003409	0.00000105
128	0.00006636	0.00000135
256	0.00013527	0.00000229
512	0.00028455	0.00000275
1024	0.00059045	0.00000775
2048	0.00123355	0.00001946
4096	0.00261882	0.00004819
8192	0.00571427	0.00012822
16384	0.01268691	0.00028396
32768	0.02810227	0.00041191
65536	0.06307209	0.00075898
131072	0.13941518	0.00141680
262144	0.30654800	0.00263425
524288	0.66887409	0.00556066
1048576	1.44486200	0.00985587
2097152	3.12104127	0.02061294
