# Resultados para avl_sintetico_random_eliminacion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	6.83602464	-nan
2	0.00000055	0.00000311
4	0.00000136	0.00000508
8	0.00000291	0.00000899
16	0.00000655	0.00001688
32	0.00001491	0.00003187
64	0.00003109	0.00006294
128	0.00006645	0.00012449
256	0.00014209	0.00024772
512	0.00030509	0.00049437
1024	0.00065991	0.00097991
2048	0.00143055	0.00197538
4096	0.00316564	0.00394163
8192	0.00694182	0.00781590
16384	0.01531682	0.01570916
32768	0.03440191	0.03129045
65536	0.07935464	0.06109165
131072	0.18313055	0.11865366
262144	0.42513773	0.22791533
524288	0.97915291	0.42524484
1048576	2.23344536	0.76184000
2097152	5.09575027	1.26104778
