# Resultados para avl_sintetico_random_insercion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	6.83602464	0.04610935
2	0.00000055	0.00000016
4	0.00000136	0.00000020
8	0.00000291	0.00000031
16	0.00000655	0.00000039
32	0.00001491	0.00000073
64	0.00003109	0.00000101
128	0.00006645	0.00000144
256	0.00014209	0.00000290
512	0.00030509	0.00000514
1024	0.00065991	0.00001023
2048	0.00143055	0.00002200
4096	0.00316564	0.00005685
8192	0.00694182	0.00010179
16384	0.01531682	0.00020386
32768	0.03440191	0.00044722
65536	0.07935464	0.00100811
131072	0.18313055	0.00213448
262144	0.42513773	0.00429942
524288	0.97915291	0.00954879
1048576	2.23344536	0.01716037
2097152	5.09575027	0.02770327
