# Resultados para avl_sintetico_random_ocupacion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	80.00	0.00000000
2	152.00	0.00000000
4	296.00	0.00000000
8	584.00	0.00000000
16	1160.00	0.00000000
32	2312.00	0.00000000
64	4616.00	0.00000000
128	9224.00	0.00000000
256	18440.00	0.00000000
512	36872.00	0.00000000
1024	73736.00	0.00000000
2048	147464.00	0.00000000
4096	294920.00	0.00000000
8192	589825.45	6.54545455
16384	1179636.36	10.14017458
32768	2359245.09	21.31045605
65536	4718429.82	31.11673568
131072	9436609.45	58.61745995
262144	18872085.09	91.49599639
524288	37739449.45	214.78667487
1048576	75460341.09	481.31126679
2097152	150846016.73	1218.84378215
