# Resultados para splaytree_real_degenerado_busquedacargada.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	1.45944941	0.01486548
2	0.20515947	0.01668794
4	0.25645006	0.01657595
8	0.30509988	0.01635791
16	0.33482853	0.01527457
32	0.36554212	0.01540187
64	0.39443594	0.01260239
128	0.41058853	0.01124876
256	0.42341135	0.00942051
512	0.43301065	0.00789928
1024	0.44079624	0.00661554
2048	0.44603241	0.00620262
4096	0.45198088	0.00586651
8192	0.46004559	0.00572886
16384	0.47416524	0.00568375
32768	0.50122976	0.00579219
