# Resultados para splaytree_real_degenerado_busquedanormal.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	0.14546618	0.00335464
2	0.26034447	0.00369270
4	0.39006653	0.00215210
8	0.45281594	0.00210878
16	0.45722106	0.00210142
32	0.45722971	0.00210132
64	0.45723412	0.00210133
128	0.45724294	0.00210135
256	0.45726018	0.00210147
512	0.45729494	0.00210159
1024	0.45736441	0.00210187
2048	0.45750200	0.00210230
4096	0.45780529	0.00210238
8192	0.45853341	0.00209706
16384	0.46001912	0.00208713
32768	0.46292212	0.00209330
65536	0.46873676	0.00210395
131072	0.48062794	0.00213000
262144	0.50455400	0.00212698
524288	0.55212606	0.00215687
1048576	0.64659547	0.00220690
2097152	0.83496853	0.00269317
