# Resultados para splaytree_real_degenerado_eliminacion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	1.21155971	-nan
2	0.00000059	0.00000056
4	0.00000135	0.00000076
8	0.00000324	0.00000091
16	0.00000606	0.00000122
32	0.00001294	-nan
64	0.00001894	0.00000180
128	0.00003029	0.00000456
256	0.00005276	0.00000949
512	0.00009776	0.00001939
1024	0.00018806	0.00003915
2048	0.00036547	0.00007885
4096	0.00076406	0.00018388
8192	0.00179971	0.00040988
16384	0.00394824	0.00085894
32768	0.00835306	0.00175184
65536	0.01756341	0.00342566
131072	0.03609824	0.00692387
262144	0.07307635	0.01340013
524288	0.14569612	0.02670790
1048576	0.29080518	0.05936468
2097152	0.57830882	0.12017034
