# Resultados para splaytree_real_degenerado_insercion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	1.21155971	0.00409650
2	0.00000059	0.00000012
4	0.00000135	0.00000019
8	0.00000324	0.00000024
16	0.00000606	0.00000031
32	0.00001294	0.00000085
64	0.00001894	0.00000082
128	0.00003029	0.00000076
256	0.00005276	0.00000071
512	0.00009776	0.00000076
1024	0.00018806	0.00000144
2048	0.00036547	0.00000269
4096	0.00076406	0.00000458
8192	0.00179971	0.00001163
16384	0.00394824	0.00003443
32768	0.00835306	0.00006476
65536	0.01756341	0.00013921
131072	0.03609824	0.00022284
262144	0.07307635	0.00040276
524288	0.14569612	0.00069216
1048576	0.29080518	0.00136883
2097152	0.57830882	0.00232738
