# Resultados para splaytree_real_degenerado_ocupacion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	72.00	0.00000000
2	136.00	0.00000000
4	264.00	0.00000000
8	516.24	3.76470588
16	1016.94	8.72811153
32	1544.00	70.49405482
64	1555.29	75.09385131
128	1555.29	75.09385131
256	1555.29	75.09385131
512	1555.29	75.09385131
1024	1555.29	75.09385131
2048	1920.47	81.19249629
4096	33841.41	588.72074087
8192	229768.00	1285.01371016
16384	666936.94	1155.96089540
32768	1563068.71	1362.27613316
65536	3444085.18	1355.95539423
131072	7248312.94	1736.79270088
262144	14958950.12	1876.29566583
524288	30249950.59	2483.54019002
1048576	60490703.53	5465.33032081
2097152	120319262.59	6872.50358476
