# Resultados para splaytree_real_random_busquedacargada.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	8.88116191	0.08456841
2	0.00000636	0.00000039
4	0.00001264	0.00000127
8	0.00002445	0.00000169
16	0.00004400	0.00000205
32	0.00008664	0.00000321
64	0.00016955	0.00000452
128	0.00033918	0.00000868
256	0.00067564	0.00001647
512	0.00134391	0.00003082
1024	0.00271164	0.00005004
2048	0.00540600	0.00008723
4096	0.01069509	0.00013852
8192	0.02151091	0.00028970
16384	0.04257409	0.00043275
32768	0.08443709	0.00096571
