# Resultados para splaytree_real_random_busquedanormal.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	0.00000455	0.00000031
2	0.00000764	0.00000053
4	0.00001373	0.00000081
8	0.00002618	0.00000120
16	0.00005518	0.00000808
32	0.00009964	0.00000815
64	0.00018400	0.00000875
128	0.00034318	0.00000982
256	0.00065364	0.00001476
512	0.00125218	0.00002632
1024	0.00240236	0.00005270
2048	0.00468055	0.00010457
4096	0.00911400	0.00017581
8192	0.01808782	0.00025148
16384	0.03630755	0.00043785
32768	0.07282491	0.00094785
65536	0.14518418	0.00185711
131072	0.29013745	0.00389471
262144	0.58009300	0.00773997
524288	1.16134836	0.01556167
1048576	2.32868082	0.02731116
2097152	4.67404082	0.05387302
