# Resultados para splaytree_real_random_eliminacion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	9.41153473	-nan
2	0.00000018	0.00000244
4	0.00000100	0.00000395
8	0.00000245	0.00000716
16	0.00000527	0.00001364
32	0.00001327	0.00002597
64	0.00002955	0.00005074
128	0.00006309	0.00009934
256	0.00013982	0.00019955
512	0.00030809	0.00039631
1024	0.00067727	0.00077682
2048	0.00149082	0.00152233
4096	0.00331518	0.00296199
8192	0.00755700	0.00583293
16384	0.01704509	0.01128087
32768	0.03869073	0.02166802
65536	0.08794364	0.04157029
131072	0.20173364	0.07664952
262144	0.46168445	0.13513511
524288	1.05675691	0.22105126
1048576	2.35966964	0.30237094
2097152	5.28063945	-nan
