# Resultados para splaytree_real_random_insercion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	9.41153473	0.10374460
2	0.00000018	0.00000012
4	0.00000100	0.00000013
8	0.00000245	0.00000016
16	0.00000527	0.00000024
32	0.00001327	0.00000060
64	0.00002955	0.00000094
128	0.00006309	0.00000164
256	0.00013982	0.00000349
512	0.00030809	0.00000704
1024	0.00067727	0.00001534
2048	0.00149082	0.00003311
4096	0.00331518	0.00007274
8192	0.00755700	0.00016826
16384	0.01704509	0.00035420
32768	0.03869073	0.00082111
65536	0.08794364	0.00194946
131072	0.20173364	0.00418304
262144	0.46168445	0.00838140
524288	1.05675691	0.01554698
1048576	2.35966964	0.02835465
2097152	5.28063945	0.05288536
