# Resultados para splaytree_real_random_ocupacion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	72.00	0.00000000
2	136.00	0.00000000
4	264.00	0.00000000
8	520.00	0.00000000
16	1032.00	0.00000000
32	2056.00	0.00000000
64	4104.00	0.00000000
128	8200.00	0.00000000
256	16392.00	0.00000000
512	32764.36	7.80591003
1024	65485.82	13.52023277
2048	130940.36	27.04046554
4096	261610.91	68.69397943
8192	522457.45	101.04223812
16384	1042079.27	213.88446715
32768	2075440.73	530.52120326
65536	4125098.91	797.74465560
131072	8181325.82	1175.40521305
262144	16186707.64	2149.17052614
524288	31943612.36	2878.05760026
1048576	62869616.73	5947.89628370
2097152	123250882.18	6939.49255391
