# Resultados para splaytree_sintetico_degenerado_busquedacargada.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	1.51539518	0.01874517
2	0.19740018	0.01843478
4	0.26050691	0.02884261
8	0.32115627	0.03036236
16	0.36941155	0.02739339
32	0.40329709	0.02619404
64	0.42827173	0.02110608
128	0.45075518	0.01723803
256	0.46428491	0.01527803
512	0.47552009	0.01291468
1024	0.48445118	0.01122334
2048	0.49156655	0.01017461
4096	0.49833791	0.00944878
8192	0.50685927	0.00900270
16384	0.52145327	0.00875432
32768	0.54900536	0.00870469
