# Resultados para splaytree_sintetico_degenerado_busquedanormal.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	0.17043736	0.00740399
2	0.30669018	0.00974844
4	0.45657973	0.00745899
8	0.52447318	0.00613645
16	0.52923218	0.00609706
32	0.52924182	0.00609710
64	0.52925009	0.00609694
128	0.52926536	0.00609692
256	0.52929491	0.00609701
512	0.52935345	0.00609712
1024	0.52946764	0.00609721
2048	0.52969309	0.00609911
4096	0.53010155	0.00610073
8192	0.53086045	0.00610178
16384	0.53230073	0.00610441
32768	0.53521518	0.00610450
65536	0.54106582	0.00609103
131072	0.55286327	0.00604688
262144	0.57684409	0.00607595
524288	0.62452909	0.00606833
1048576	0.71968555	0.00599526
2097152	0.90916918	0.00624449
