# Resultados para splaytree_sintetico_degenerado_eliminacion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	1.28879555	-nan
2	0.00000064	0.00000080
4	0.00000155	0.00000103
8	0.00000318	0.00000139
16	0.00000600	0.00000261
32	0.00001455	0.00000328
64	0.00002473	0.00000694
128	0.00004573	0.00001209
256	0.00008609	0.00002250
512	0.00016636	0.00004220
1024	0.00032591	0.00007941
2048	0.00064818	0.00014010
4096	0.00126336	0.00026712
8192	0.00245173	0.00053318
16384	0.00476436	0.00104271
32768	0.00944364	0.00211865
65536	0.01905664	0.00407455
131072	0.03801600	0.00808609
262144	0.07568118	0.01551562
524288	0.15089255	0.03187399
1048576	0.30072291	0.07428064
2097152	0.59931255	0.15257993
