# Resultados para splaytree_sintetico_degenerado_insercion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	1.28879555	0.00751164
2	0.00000064	0.00000015
4	0.00000155	0.00000021
8	0.00000318	0.00000026
16	0.00000600	0.00000019
32	0.00001455	0.00000111
64	0.00002473	0.00000111
128	0.00004573	0.00000130
256	0.00008609	0.00000149
512	0.00016636	0.00000195
1024	0.00032591	0.00000311
2048	0.00064818	0.00000394
4096	0.00126336	0.00001121
8192	0.00245173	0.00003769
16384	0.00476436	0.00006573
32768	0.00944364	0.00012250
65536	0.01905664	0.00017306
131072	0.03801600	0.00023729
262144	0.07568118	0.00041116
524288	0.15089255	0.00080822
1048576	0.30072291	0.00144265
2097152	0.59931255	0.00234060
