# Resultados para splaytree_sintetico_degenerado_ocupacion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	72.00	0.00000000
2	136.00	0.00000000
4	264.00	0.00000000
8	520.00	0.00000000
16	1032.00	0.00000000
32	2056.00	0.00000000
64	4104.00	0.00000000
128	8194.18	5.81818182
256	16380.36	7.80591003
512	32741.09	13.26749586
1024	65439.27	24.82121194
2048	130794.91	38.94272124
4096	261587.64	30.89668200
8192	523219.64	58.41408185
16384	1046506.91	70.82904573
32768	2093128.00	131.44456142
65536	4186073.45	255.13904814
131072	8372063.27	308.90107539
262144	16744653.82	314.30031435
524288	33488671.27	431.16613737
1048576	66978154.91	879.10782723
2097152	133956051.64	1478.98593805
