# Resultados para splaytree_sintetico_random_busquedacargada.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	9.42042273	0.12195864
2	0.00000636	0.00000020
4	0.00001227	0.00000030
8	0.00002464	0.00000093
16	0.00004800	0.00000217
32	0.00009400	0.00000420
64	0.00018309	0.00000565
128	0.00035955	0.00000901
256	0.00070800	0.00001262
512	0.00140782	0.00002045
1024	0.00278773	0.00003039
2048	0.00560345	0.00006197
4096	0.01131118	0.00011894
8192	0.02251455	0.00024963
16384	0.04493700	0.00044840
32768	0.08943000	0.00098405
