# Resultados para splaytree_sintetico_random_busquedanormal.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	0.00000564	0.00000088
2	0.00000909	0.00000106
4	0.00001600	0.00000097
8	0.00002882	0.00000120
16	0.00005264	0.00000157
32	0.00009745	0.00000236
64	0.00018582	0.00000456
128	0.00035473	0.00000848
256	0.00067500	0.00001467
512	0.00129573	0.00003349
1024	0.00251073	0.00005285
2048	0.00496973	0.00009347
4096	0.00976591	0.00018759
8192	0.01944782	0.00033858
16384	0.03899309	0.00062246
32768	0.07764082	0.00109360
65536	0.15532445	0.00200198
131072	0.31038818	0.00393584
262144	0.61970991	0.00727156
524288	1.24005745	0.01408844
1048576	2.48041709	0.02829918
2097152	4.96580245	0.05133776
