# Resultados para splaytree_sintetico_random_eliminacion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	9.92112573	-nan
2	0.00000045	0.00000234
4	0.00000109	0.00000425
8	0.00000282	0.00000765
16	0.00000618	0.00001422
32	0.00001427	0.00002719
64	0.00003182	0.00005286
128	0.00006982	0.00010480
256	0.00015282	0.00020719
512	0.00033636	0.00040938
1024	0.00074227	0.00081101
2048	0.00163955	0.00158531
4096	0.00363664	0.00312334
8192	0.00801855	0.00608636
16384	0.01764927	0.01198811
32768	0.03884691	0.02336398
65536	0.08813445	0.04463163
131072	0.20217564	0.08395712
262144	0.46324091	0.15071289
524288	1.05976718	0.25633316
1048576	2.40616500	0.37444059
2097152	5.41277036	-nan
