# Resultados para splaytree_sintetico_random_insercion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	9.92112573	0.09312664
2	0.00000045	0.00000016
4	0.00000109	0.00000025
8	0.00000282	0.00000023
16	0.00000618	0.00000030
32	0.00001427	0.00000052
64	0.00003182	0.00000076
128	0.00006982	0.00000121
256	0.00015282	0.00000231
512	0.00033636	0.00000397
1024	0.00074227	0.00000788
2048	0.00163955	0.00001593
4096	0.00363664	0.00003856
8192	0.00801855	0.00010192
16384	0.01764927	0.00021909
32768	0.03884691	0.00048712
65536	0.08813445	0.00111286
131072	0.20217564	0.00250402
262144	0.46324091	0.00397207
524288	1.05976718	0.01081411
1048576	2.40616500	0.02581122
2097152	5.41277036	0.05164636
