# Resultados para splaytree_sintetico_random_ocupacion.dat
#elementos: Elementos en la estructura
#tiempo/ocup: Tiempo u ocupación dependiendo de la medición.
#error: Error en la medición del parámetro
#elementos	tiempo/ocup	error
1	72.00	0.00000000
2	136.00	0.00000000
4	264.00	0.00000000
8	520.00	0.00000000
16	1032.00	0.00000000
32	2056.00	0.00000000
64	4104.00	0.00000000
128	8200.00	0.00000000
256	16392.00	0.00000000
512	32776.00	0.00000000
1024	65544.00	0.00000000
2048	131080.00	0.00000000
4096	262152.00	0.00000000
8192	524290.18	5.81818182
16384	1048578.18	5.81818182
32768	2097136.73	9.73568031
65536	4194207.27	28.97431179
131072	8388191.27	58.06533795
262144	16775298.18	126.08149011
524288	33546184.00	222.37331429
1048576	67075912.00	286.08657304
2097152	134086553.45	886.26780647
